2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
"Total, all occupations",00-0000,"167,849.8","174,589.0","6,739.2",4.0,"49,500",—,3.8,3.0,2.7,3.1,3.3,3.6,2.5,3.5,3.2,2.6,1.9,2.2,3.5,2.7,1.7,3.2,3.3
  Home health and personal care aides,31-1120,"3,961.9","4,782.4",820.5,20.7,"34,900",High school diploma or equivalent,3.9,2.6,2.8,2.8,3.2,3.7,2.1,4.2,3.2,2.1,1.8,2.8,3.3,2.7,1.8,3.0,3.2
  Software developers[2],15-1252,"1,692.1","1,995.7",303.7,17.9,"133,080",Bachelor's degree,4.1,4.4,3.5,4.1,2.8,3.8,2.0,3.1,3.5,3.3,1.6,1.2,4.0,3.0,1.9,3.5,4.0
"  Cooks, restaurant",35-2014,"1,434.2","1,678.6",244.5,17.0,"36,830",No formal educational credential,3.7,2.0,2.8,2.7,3.2,3.6,3.2,3.2,3.3,2.6,1.9,2.7,2.9,2.8,1.7,2.7,2.6
  Fast food and counter workers,35-3023,"3,734.1","3,946.5",212.5,5.7,"30,480",No formal educational credential,3.4,2.0,2.3,2.3,3.5,3.3,2.5,3.3,3.1,2.5,1.5,2.3,2.9,2.3,1.5,2.9,2.2
  General and operations managers,11-1021,"3,630.1","3,840.5",210.4,5.8,"102,950",Bachelor's degree,4.1,3.5,3.1,3.6,3.6,3.6,1.7,3.7,4.0,3.0,1.7,1.7,4.1,3.6,1.7,3.5,3.8
  Registered nurses,29-1141,"3,300.1","3,497.3",197.2,6.0,"93,600",Bachelor's degree,4.2,3.6,2.8,3.6,3.8,4.0,2.7,4.3,3.8,3.1,1.7,2.8,3.9,2.7,2.5,3.5,3.9
  Stockers and order fillers,53-7065,"2,864.7","3,033.3",168.6,5.9,"37,090",High school diploma or equivalent,3.2,2.7,2.3,2.5,3.2,3.4,2.5,3.1,2.8,2.2,1.8,3.0,3.0,2.3,1.4,2.9,2.7
  Medical and health services managers,11-9111,562.7,723.3,160.6,28.5,"117,960",Bachelor's degree,4.4,3.9,3.0,4.0,3.6,3.5,1.7,4.0,4.3,3.0,1.4,1.4,3.9,3.8,2.1,3.7,4.0
  Financial managers,11-3031,837.1,975.3,138.3,16.5,"161,700",Bachelor's degree,3.9,3.6,2.7,3.5,3.3,3.8,1.9,3.7,4.0,3.6,1.3,1.2,3.9,3.2,1.1,3.7,3.8
  Nurse practitioners,29-1171,292.5,427.9,135.5,46.3,"129,210",Master's degree,4.4,3.7,2.8,3.9,3.7,4.2,2.5,4.2,3.6,3.1,1.5,2.3,4.2,2.7,3.3,3.7,4.1
"  Laborers and freight, stock, and material movers, hand",53-7062,"3,004.8","3,130.6",125.7,4.2,"38,940",No formal educational credential,3.2,2.1,1.9,2.4,2.7,3.4,3.1,2.7,2.4,2.1,2.5,3.2,3.1,1.9,1.2,2.5,2.7
  Medical assistants,31-9092,783.9,901.9,118.0,15.0,"44,200",Postsecondary nondegree award,4.2,3.6,2.9,3.1,3.6,4.0,2.4,4.0,3.2,2.7,2.1,2.3,3.3,3.0,2.2,3.5,3.7
  Construction laborers,47-2061,"1,401.2","1,516.6",115.4,8.2,"46,730",No formal educational credential,3.2,1.9,2.3,2.6,2.8,3.7,3.2,2.9,3.1,2.0,3.0,3.1,3.2,2.7,1.5,2.7,2.7
  Management analysts,13-1111,"1,018.3","1,126.2",107.9,10.6,"101,190",Bachelor's degree,4.2,3.7,3.2,4.0,3.4,3.6,1.5,3.7,3.7,3.1,1.3,1.3,4.1,3.1,1.5,3.7,4.1
  Computer and information systems managers,11-3021,613.5,720.4,106.9,17.4,"171,200",Bachelor's degree,3.9,4.2,3.0,3.9,3.0,3.8,2.3,3.4,3.9,3.1,1.7,1.3,4.1,3.5,1.4,3.4,3.8
  Heavy and tractor-trailer truck drivers,53-3032,"2,211.3","2,313.4",102.0,4.6,"57,440",Postsecondary nondegree award,3.5,2.6,2.1,2.6,2.9,3.9,3.5,2.8,2.3,2.2,2.9,2.7,3.4,2.2,1.5,2.7,2.7
  Light truck drivers,53-3033,"1,092.6","1,188.9",96.3,8.8,"44,140",High school diploma or equivalent,3.5,2.5,2.3,2.7,3.1,3.6,3.0,3.0,2.7,2.2,2.5,3.1,3.2,2.4,1.6,2.8,2.9
  Accountants and auditors,13-2011,"1,562.0","1,653.4",91.4,5.8,"81,680",Bachelor's degree,3.8,3.7,2.6,3.7,2.9,3.9,1.6,3.2,3.5,3.9,1.1,1.2,3.8,3.1,1.3,3.3,3.8
"  Substance abuse, behavioral disorder, and mental health counselors",21-1018,449.8,534.3,84.5,18.8,"59,190",Master's degree,4.2,3.5,3.1,3.6,3.5,3.4,1.5,4.5,3.3,2.2,1.3,1.7,3.5,2.7,1.8,3.9,3.9
  Electricians,47-2111,779.8,864.1,84.3,10.8,"62,350",High school diploma or equivalent,3.9,2.5,2.9,3.5,3.2,3.9,3.6,3.2,3.7,3.1,3.4,3.4,3.8,3.3,1.8,2.9,3.2
"  Maintenance and repair workers, general",49-9071,"1,616.5","1,698.3",81.8,5.1,"48,620",High school diploma or equivalent,3.8,3.0,2.8,3.1,3.0,3.6,3.3,3.0,3.1,2.6,3.7,3.1,3.6,2.9,1.7,2.8,3.0
  First-line supervisors of food preparation and serving workers,35-1012,"1,211.4","1,288.2",76.8,6.3,"42,010",High school diploma or equivalent,3.8,2.8,2.5,3.1,4.1,3.7,2.9,3.6,3.9,3.1,1.8,2.7,3.8,3.2,1.5,3.4,3.0
"  Janitors and cleaners, except maids and housekeeping cleaners",37-2011,"2,431.6","2,507.3",75.8,3.1,"35,930",No formal educational credential,3.3,2.4,2.3,2.4,2.4,3.1,2.8,2.9,3.0,1.5,2.1,3.0,2.9,2.6,1.4,2.6,2.5
  Market research analysts and marketing specialists,13-1161,903.4,978.3,74.9,8.3,"76,950",Bachelor's degree,3.8,3.8,3.2,4.0,3.2,3.6,1.4,3.0,3.1,3.4,1.1,1.1,3.8,2.9,1.4,3.6,4.1
  Human resources specialists,13-1071,933.7,"1,007.9",74.2,7.9,"72,910",Bachelor's degree,4.1,3.6,2.7,3.2,3.3,3.7,2.0,3.8,3.4,2.2,1.1,1.3,3.6,2.9,1.1,3.7,3.8
  Industrial machinery mechanics,49-9041,429.5,503.3,73.8,17.2,"63,760",High school diploma or equivalent,3.7,2.9,2.8,3.1,2.0,3.4,3.8,2.9,3.0,2.5,3.7,3.0,3.3,2.4,2.0,2.6,3.0
"  Managers, all other[2]",11-9199,"1,282.5","1,356.2",73.7,5.7,"136,550",Bachelor's degree,4.0,3.4,3.0,3.6,3.5,3.6,2.0,3.6,3.9,3.1,1.8,1.9,3.9,3.6,2.1,3.6,3.7
  Data scientists[2],15-2051,202.9,276.0,73.1,36.0,"112,590",Bachelor's degree,3.7,3.9,2.9,3.9,2.0,3.5,1.7,2.7,2.8,4.6,1.1,1.1,3.5,2.3,2.3,3.4,4.0
  Project management specialists[2],13-1082,973.6,"1,043.4",69.9,7.2,"100,750",Bachelor's degree,4.3,4.0,3.0,3.8,3.5,3.5,1.5,3.7,4.2,3.0,1.4,1.2,3.8,3.9,1.7,3.7,4.1
  Bartenders,35-3011,734.3,798.9,64.5,8.8,"33,530",No formal educational credential,3.7,2.3,2.8,2.6,3.8,3.1,2.8,3.7,3.1,2.5,1.6,2.8,3.2,2.9,1.3,3.1,2.8
"  Business operations specialists, all other[2]",13-1199,"1,181.5","1,245.3",63.8,5.4,"81,270",Bachelor's degree,4.1,3.7,3.0,3.7,3.4,3.6,1.7,3.5,3.5,3.0,1.3,1.3,3.8,3.2,1.5,3.6,3.9
  Nursing assistants,31-1131,"1,419.4","1,481.8",62.4,4.4,"39,530",Postsecondary nondegree award,4.0,2.6,2.7,2.7,3.3,3.8,2.3,4.2,3.2,2.2,1.7,3.1,3.1,2.3,1.8,3.1,3.1
  Animal caretakers,39-2021,364.6,425.2,60.6,16.6,"33,470",High school diploma or equivalent,3.8,2.7,2.5,2.6,3.3,3.5,2.4,3.3,2.7,2.1,1.7,2.8,3.3,2.5,1.9,2.8,2.9
  Landscaping and groundskeeping workers,37-3011,"1,188.2","1,248.3",60.1,5.1,"38,090",No formal educational credential,3.4,1.5,2.4,2.4,2.7,3.3,2.9,3.2,2.7,1.9,2.5,3.2,2.6,2.2,2.2,2.5,1.9
  Information security analysts,15-1212,180.7,239.8,59.1,32.7,"124,910",Bachelor's degree,3.9,4.1,2.8,3.8,2.7,3.8,2.2,3.0,2.9,2.5,1.7,1.3,3.6,2.5,1.4,3.3,3.8
  Computer systems analysts,15-1211,527.2,583.7,56.5,10.7,"103,790",Bachelor's degree,3.6,4.3,2.8,3.9,2.4,3.6,2.4,3.1,2.9,3.1,2.2,1.4,3.8,2.7,1.5,3.4,3.7
  Personal financial advisors,13-2052,321.0,375.9,55.0,17.1,"102,140",Bachelor's degree,3.9,3.5,2.6,3.7,3.4,3.6,1.5,3.8,3.1,3.6,1.1,1.1,4.0,3.1,1.2,3.6,4.0
"  Health specialties teachers, postsecondary",25-1071,284.2,337.5,53.3,18.8,"105,620",Doctoral or professional degree,4.2,3.7,3.2,3.6,3.0,3.5,1.9,3.7,3.6,3.0,1.8,1.8,3.9,2.7,3.2,3.9,4.1
"  Computer occupations, all other[2]",15-1299,470.9,522.0,51.1,10.8,"108,970",Bachelor's degree,4.0,4.3,3.1,3.9,2.6,3.7,2.3,3.1,3.2,3.0,2.0,1.3,3.8,2.8,1.6,3.4,3.8
  First-line supervisors of construction trades and extraction workers,47-1011,853.2,903.4,50.3,5.9,"78,690",High school diploma or equivalent,4.0,2.8,2.8,3.3,3.3,3.9,2.8,3.4,3.7,3.0,2.8,2.5,3.9,3.0,2.0,3.3,3.2
  Training and development specialists,13-1151,420.1,468.6,48.5,11.5,"65,850",Bachelor's degree,4.2,3.4,3.2,3.6,3.2,3.0,1.5,3.8,3.7,2.4,1.3,1.3,3.6,3.0,1.4,3.9,4.0
  Construction managers,11-9021,520.9,568.5,47.6,9.1,"106,980",Bachelor's degree,4.0,3.6,2.7,3.6,3.3,3.8,1.7,3.3,4.0,3.3,1.7,1.9,4.0,4.0,2.1,3.5,3.6
  Exercise trainers and group fitness instructors,39-9031,350.1,397.7,47.5,13.6,"46,180",High school diploma or equivalent,3.7,2.7,3.1,2.8,3.4,3.1,2.0,4.0,3.1,1.8,1.6,3.5,3.0,2.5,1.9,3.2,2.9
  Driver/sales workers,53-3031,503.2,549.3,46.1,9.2,"37,130",High school diploma or equivalent,3.5,2.3,2.3,2.5,3.6,3.5,3.2,3.0,2.2,2.7,2.0,3.0,3.1,2.4,1.1,3.2,2.8
  Logisticians,13-1081,237.1,282.9,45.8,19.3,"80,880",Bachelor's degree,3.9,3.7,2.9,3.8,3.3,3.5,1.6,3.4,3.7,3.2,1.4,1.3,3.8,3.5,1.6,3.6,3.7
  Lawyers,23-1011,859.0,903.3,44.2,5.2,"151,160",Doctoral or professional degree,4.3,3.5,3.0,3.9,3.8,4.2,2.0,3.5,3.1,2.4,1.3,1.3,4.3,2.8,1.3,4.0,4.3
"  Sales representatives of services, except advertising, insurance, financial services, and travel[2]",41-3091,"1,170.3","1,214.5",44.2,3.8,"66,260",High school diploma or equivalent,4.1,3.5,2.5,3.0,4.0,3.6,2.4,3.5,3.1,2.7,1.4,1.5,3.3,2.5,1.2,3.5,3.4
  Physician assistants,29-1071,153.4,197.1,43.7,28.5,"133,260",Master's degree,4.5,3.9,2.6,3.9,3.7,4.3,2.4,4.4,3.4,3.1,1.4,2.3,4.3,2.8,3.6,3.7,4.1
  Medical secretaries and administrative assistants,43-6013,768.9,810.1,41.3,5.4,"44,640",High school diploma or equivalent,3.7,3.6,2.3,2.9,3.8,3.5,2.4,3.9,2.9,2.3,1.4,1.3,3.3,2.8,1.4,3.5,3.4
  Industrial engineers,17-2112,336.6,377.5,40.9,12.2,"101,140",Bachelor's degree,3.9,3.7,3.1,3.7,2.9,3.9,2.0,3.0,3.1,3.3,2.1,1.6,3.8,2.8,2.3,3.5,3.8
  Dining room and cafeteria attendants and bartender helpers,35-9011,493.8,534.7,40.9,8.3,"32,670",No formal educational credential,3.5,2.1,2.1,2.3,3.6,3.1,2.8,3.5,2.8,1.9,1.6,3.1,2.8,2.5,1.2,2.8,2.2
"  Hairdressers, hairstylists, and cosmetologists",39-5012,571.1,611.4,40.3,7.1,"35,250",Postsecondary nondegree award,3.9,2.4,3.2,2.9,3.8,3.5,3.4,3.8,3.0,2.3,1.8,2.6,3.5,2.5,1.8,3.2,3.0
"  Heating, air conditioning, and refrigeration mechanics and installers",49-9021,441.2,481.3,40.1,9.1,"59,810",Postsecondary nondegree award,3.7,3.0,2.9,3.3,3.1,3.8,3.4,3.3,3.3,2.6,3.5,3.0,3.8,2.7,2.3,2.9,3.1
  Carpenters,47-2031,923.1,961.6,38.6,4.2,"59,310",High school diploma or equivalent,3.7,2.5,2.7,3.1,2.9,4.0,3.4,3.2,3.4,3.1,2.8,3.1,3.5,2.9,2.0,2.9,3.0
  Buyers and purchasing agents,13-1020,524.1,561.4,37.2,7.1,"75,650",Bachelor's degree,4.0,3.5,2.8,3.5,3.3,3.8,1.5,3.3,3.3,3.3,1.3,1.4,3.9,3.5,1.4,3.5,3.6
  Computer user support specialists,15-1232,725.3,762.5,37.2,5.1,"60,340","Some college, no degree",4.1,4.2,2.9,3.4,2.6,3.8,2.9,3.3,3.1,2.3,2.6,1.8,3.7,2.5,1.5,3.6,3.8
  Physical therapists,29-1123,259.2,296.0,36.8,14.2,"101,020",Doctoral or professional degree,4.2,3.4,3.0,3.6,3.9,3.7,2.9,4.4,3.6,2.5,1.8,2.9,4.1,2.7,3.0,3.5,3.9
  Social and human service assistants,21-1093,433.0,467.4,34.4,7.9,"45,120",High school diploma or equivalent,4.0,3.6,2.9,3.2,3.8,3.5,1.7,4.1,3.2,2.0,1.3,2.0,3.5,2.7,1.4,3.6,3.7
  Sales managers,11-2022,584.8,619.1,34.3,5.9,"138,060",Bachelor's degree,4.2,3.5,3.4,3.7,3.9,3.0,1.6,3.7,4.1,3.1,1.4,1.3,3.8,3.5,1.5,3.7,3.8
"  Securities, commodities, and financial services sales agents",41-3031,513.8,547.9,34.1,6.6,"78,140",Bachelor's degree,4.0,3.7,2.7,3.4,3.6,3.8,1.6,3.3,2.9,3.3,1.2,1.2,3.9,2.9,1.2,3.4,3.6
  Insurance sales agents,41-3021,547.6,581.0,33.4,6.1,"60,370",High school diploma or equivalent,3.8,3.3,2.5,3.1,3.9,3.7,1.7,3.4,2.3,3.2,1.3,1.3,3.6,2.3,1.1,3.6,3.7
  Speech-language pathologists,29-1127,180.8,214.1,33.3,18.4,"95,410",Master's degree,4.4,3.6,3.1,3.9,3.2,3.7,2.0,4.3,3.1,2.4,1.3,1.5,4.0,2.3,2.1,3.8,4.1
  Pharmacy technicians,29-2052,463.9,497.2,33.3,7.2,"43,460",High school diploma or equivalent,3.9,3.6,2.3,3.0,3.7,4.2,2.7,3.6,3.2,3.2,1.7,2.4,3.3,2.7,2.1,3.4,3.5
  Financial and investment analysts[2],13-2051,347.4,380.5,33.1,9.5,"101,350",Bachelor's degree,3.9,3.5,2.6,3.7,3.4,3.6,1.5,3.8,3.1,3.6,1.1,1.1,4.0,3.1,1.2,3.6,4.0
  Mechanical engineers,17-2141,291.9,323.9,32.1,11.0,"102,320",Bachelor's degree,3.9,3.8,3.2,3.9,2.7,3.8,2.2,3.1,3.1,4.0,2.3,1.4,4.0,2.8,3.2,3.2,3.4
  Marketing managers,11-2021,389.1,420.8,31.7,8.2,"161,030",Bachelor's degree,4.0,3.6,3.4,3.7,3.5,3.4,1.7,3.5,3.8,3.1,1.1,1.3,4.0,3.3,1.3,3.8,3.7
  Dental assistants,31-9091,376.5,408.0,31.5,8.4,"47,300",Postsecondary nondegree award,4.1,3.4,2.6,2.9,3.8,3.7,3.1,3.8,3.3,2.2,2.1,2.6,3.2,2.9,1.9,3.4,3.2
"  First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors[2]",53-1047,594.1,625.6,31.5,5.3,"61,890",High school diploma or equivalent,3.9,3.4,2.8,3.4,3.3,3.8,2.6,3.4,4.1,2.9,2.5,2.4,3.9,3.1,1.8,3.5,3.4
  Operations research analysts,15-2031,123.3,151.6,28.3,23.0,"91,290",Bachelor's degree,3.8,3.9,3.4,4.3,2.2,3.6,1.5,2.7,2.9,4.6,1.1,1.1,4.2,2.5,2.1,3.4,4.1
  Physical therapist assistants,31-2021,108.5,136.0,27.5,25.4,"65,510",Associate's degree,4.1,3.4,2.8,3.0,3.6,3.7,2.8,4.2,3.1,2.2,2.0,3.0,3.8,2.5,2.5,3.5,3.4
  Coaches and scouts,27-2022,307.1,334.0,26.9,8.8,"45,920",Bachelor's degree,4.1,3.2,3.2,3.7,3.2,3.4,1.9,4.0,3.9,2.3,1.5,2.6,3.9,3.2,1.8,4.0,3.7
  Security guards,33-9032,"1,229.6","1,256.3",26.6,2.2,"38,370",High school diploma or equivalent,4.1,3.6,3.1,3.0,4.0,3.9,2.1,3.9,3.6,2.1,1.9,2.5,3.4,2.8,2.0,3.2,3.0
  Police and sheriff's patrol officers,33-3051,674.2,700.6,26.4,3.9,"76,290",High school diploma or equivalent,4.3,3.5,2.7,3.3,4.3,4.1,2.7,4.1,3.6,2.3,2.0,3.0,3.9,2.7,1.8,3.7,3.6
"  Plumbers, pipefitters, and steamfitters",47-2152,473.4,499.7,26.3,5.6,"62,970",High school diploma or equivalent,3.6,2.4,2.7,3.1,2.8,3.7,3.5,3.0,3.2,2.8,3.2,3.2,3.8,2.7,2.2,2.6,2.8
  Massage therapists,31-9011,147.1,173.2,26.0,17.7,"57,950",Postsecondary nondegree award,3.8,2.5,2.7,2.8,3.3,3.3,2.7,4.0,2.3,1.9,1.2,3.1,3.5,2.5,2.1,3.0,3.1
  Manicurists and pedicurists,39-5092,212.7,237.8,25.1,11.8,"34,660",Postsecondary nondegree award,3.3,1.7,2.5,2.2,2.5,3.0,2.9,3.1,2.2,1.8,1.5,1.6,2.4,2.0,1.7,2.6,2.3
  Packaging and filling machine operators and tenders,51-9111,367.9,392.5,24.6,6.7,"40,900",High school diploma or equivalent,3.3,2.3,2.5,2.6,2.5,3.8,3.3,2.9,3.0,2.4,2.7,2.9,3.3,2.1,1.7,2.7,2.8
  Veterinary technologists and technicians,29-2056,125.7,150.0,24.3,19.3,"45,980",Associate's degree,4.1,3.2,2.5,3.3,3.5,4.0,3.0,3.7,3.2,3.0,2.3,2.9,3.5,2.8,3.1,3.2,3.5
  Software quality assurance analysts and testers,15-1253,205.0,229.2,24.2,11.8,"102,610",Bachelor's degree,3.9,4.4,2.9,3.8,2.3,3.8,2.1,3.0,3.1,2.8,1.6,1.2,3.5,2.5,1.6,3.3,3.8
  Computer network architects,15-1241,177.8,201.7,23.9,13.4,"130,390",Bachelor's degree,3.7,4.4,2.9,3.9,2.4,3.7,2.2,2.7,3.1,3.2,2.1,1.4,3.9,2.8,1.8,3.4,3.9
"  Preschool teachers, except special education",25-2011,528.5,551.8,23.3,4.4,"37,120",Associate's degree,4.0,2.1,3.4,2.9,2.9,3.4,2.0,4.1,3.2,2.2,1.3,2.5,3.3,2.5,1.4,3.5,3.2
  Veterinary assistants and laboratory animal caretakers,31-9096,118.2,141.1,22.9,19.4,"37,320",High school diploma or equivalent,3.8,3.3,2.3,2.8,3.7,4.0,2.8,3.7,3.1,2.8,2.1,2.9,3.4,2.8,2.6,3.0,3.2
  Waiters and waitresses,35-3031,"2,277.9","2,300.8",22.9,1.0,"33,760",No formal educational credential,3.6,2.0,2.3,2.5,3.7,3.3,2.4,3.7,2.9,2.2,1.5,3.0,3.0,2.2,1.3,3.3,2.5
  Taxi drivers[2],53-3054,171.1,193.8,22.7,13.3,"36,220",No formal educational credential,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
  Civil engineers,17-2051,341.8,363.9,22.1,6.5,"99,590",Bachelor's degree,3.7,3.6,2.8,3.9,3.0,3.8,1.8,2.9,3.5,4.0,1.5,1.3,3.8,3.4,2.8,3.4,3.7
  Compliance officers,13-1041,403.9,425.8,21.9,5.4,"78,420",Bachelor's degree,3.8,3.5,2.6,3.4,3.8,3.8,2.3,3.4,2.8,2.5,1.7,2.2,3.5,2.6,1.4,3.5,3.7
"  First-line supervisors of mechanics, installers, and repairers",49-1011,604.3,626.2,21.9,3.6,"78,300",High school diploma or equivalent,3.9,3.4,2.8,3.5,3.0,3.6,3.0,3.3,3.9,3.0,3.2,2.5,3.8,3.4,1.9,3.4,3.5
  Psychiatric technicians,29-2053,124.6,145.8,21.3,17.1,"42,590",Postsecondary nondegree award,4.1,3.2,2.8,3.1,3.2,3.5,2.1,4.3,3.3,2.0,1.4,2.4,3.1,2.4,1.9,3.4,3.5
  Automotive service technicians and mechanics,49-3023,794.6,815.9,21.2,2.7,"49,670",Postsecondary nondegree award,3.5,2.9,2.5,3.2,3.1,3.9,3.8,2.8,2.7,2.3,3.7,2.9,3.8,2.4,1.9,2.7,3.0
  Industrial truck and tractor operators,53-7051,770.8,791.9,21.2,2.7,"46,390",No formal educational credential,3.4,2.4,2.2,2.7,2.5,4.1,3.5,2.9,3.1,2.3,2.9,3.0,3.4,2.8,1.3,2.6,2.7
  Dental hygienists,29-1292,214.1,233.7,19.6,9.2,"94,260",Associate's degree,4.1,2.9,2.5,2.9,3.5,3.8,3.5,4.1,2.9,2.1,2.1,2.5,3.5,2.6,2.1,3.0,3.2
  Operating engineers and other construction equipment operators,47-2073,468.0,487.6,19.6,4.2,"58,710",High school diploma or equivalent,3.8,1.9,2.5,2.8,3.0,4.0,3.4,3.1,3.3,2.2,3.3,2.7,3.7,2.8,1.6,2.7,2.7
"  Production, planning, and expediting clerks",43-5061,399.2,418.7,19.5,4.9,"57,770",High school diploma or equivalent,3.8,3.5,2.6,3.1,2.7,3.9,2.2,3.1,2.8,2.7,1.5,1.7,3.6,2.9,1.1,3.1,3.4
"  Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,271.1,290.6,19.5,7.2,"44,040",High school diploma or equivalent,3.2,2.4,2.2,2.7,2.2,3.6,3.3,2.7,2.9,2.1,2.6,2.4,3.1,2.3,1.6,2.6,2.9
  Public relations specialists,27-3031,308.0,327.2,19.2,6.2,"69,780",Bachelor's degree,4.0,3.4,3.3,3.5,3.7,3.7,1.4,3.6,3.5,2.1,1.1,1.2,3.8,3.0,1.2,4.1,4.0
"  Transportation, storage, and distribution managers",11-3071,211.8,230.8,19.1,9.0,"102,010",High school diploma or equivalent,4.0,3.4,2.9,3.6,3.4,3.6,2.0,3.4,3.9,3.2,1.7,1.6,3.9,3.5,1.6,3.5,3.7
  Shuttle drivers and chauffeurs[2],53-3053,222.3,241.3,19.0,8.5,"36,670",No formal educational credential,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
"  Hotel, motel, and resort desk clerks",43-4081,271.3,290.2,18.9,7.0,"34,270",High school diploma or equivalent,3.9,3.6,2.6,2.7,4.1,3.5,2.3,3.8,3.3,2.8,1.4,1.8,3.6,2.3,1.4,3.3,2.9
  Occupational health and safety specialists,19-5011,125.9,144.7,18.8,14.9,"83,910",Bachelor's degree,4.0,3.7,2.9,3.9,3.2,3.8,2.1,3.7,3.5,3.4,2.0,1.8,4.0,2.8,3.6,3.6,4.0
  Couriers and messengers,43-5021,225.5,244.3,18.8,8.3,"38,340",High school diploma or equivalent,3.0,2.6,1.9,2.5,2.9,3.6,2.9,2.9,1.8,2.1,1.9,2.7,3.1,2.1,1.3,2.9,2.9
  Healthcare social workers,21-1022,193.2,211.9,18.7,9.7,"68,090",Master's degree,4.3,3.5,2.8,3.5,3.7,3.2,1.6,4.5,3.3,2.0,1.3,1.8,3.8,2.7,1.9,3.7,3.9
  Pharmacists,29-1051,337.7,355.9,18.3,5.4,"137,480",Doctoral or professional degree,4.2,3.6,2.4,3.6,3.6,4.4,2.5,3.8,3.5,3.6,1.5,2.0,4.1,3.0,3.3,3.5,4.0
  Clinical laboratory technologists and technicians,29-2010,344.2,362.5,18.2,5.3,"61,890",Bachelor's degree,4.0,3.6,2.5,3.4,3.0,4.2,3.2,3.4,3.2,3.1,2.7,2.2,3.7,2.6,3.2,3.1,3.4
"  Child, family, and school social workers",21-1021,365.9,383.8,17.9,4.9,"58,570",Bachelor's degree,4.0,3.6,3.0,3.4,4.3,3.7,1.8,4.3,3.4,2.1,1.4,1.8,4.0,2.6,1.7,3.9,4.0
  Cleaners of vehicles and equipment,53-7061,402.7,420.6,17.8,4.4,"35,270",No formal educational credential,3.2,2.3,2.2,2.5,2.7,3.3,3.1,3.0,3.1,1.9,2.6,3.0,2.9,2.5,1.8,2.5,2.2
  Respiratory therapists,29-1126,133.9,151.4,17.5,13.1,"80,450",Associate's degree,4.4,3.5,2.6,3.6,3.5,4.3,3.1,4.1,3.3,2.9,2.5,2.7,3.8,2.7,3.1,3.3,3.5
  Chief executives,11-1011,313.9,331.1,17.2,5.5,"206,420",Bachelor's degree,4.2,3.7,3.5,4.1,3.9,3.7,1.7,4.0,4.5,3.3,1.5,1.3,4.6,4.1,1.8,4.0,4.2
  Electrical engineers,17-2071,189.1,206.3,17.2,9.1,"111,910",Bachelor's degree,4.0,4.2,3.1,3.9,2.6,3.8,2.2,3.0,3.3,3.5,2.1,1.5,4.0,3.4,2.5,3.4,4.0
  Amusement and recreation attendants,39-3091,381.5,398.6,17.1,4.5,"30,490",No formal educational credential,3.3,2.5,2.4,2.3,3.8,2.9,2.4,3.4,2.7,2.2,1.7,2.4,2.9,2.1,1.1,3.4,2.6
  Counter and rental clerks,41-2021,403.7,420.8,17.1,4.2,"38,540",No formal educational credential,3.5,3.2,2.4,2.6,4.1,3.4,2.5,3.4,3.0,2.7,2.0,2.1,3.2,2.5,1.3,3.3,3.1
  Licensed practical and licensed vocational nurses,29-2061,657.8,674.7,16.9,2.6,"62,340",Postsecondary nondegree award,4.2,3.2,2.6,3.4,3.3,3.9,2.8,4.1,3.6,2.9,1.7,2.9,3.8,2.7,2.2,3.4,3.6
"  Medical scientists, except epidemiologists",19-1042,146.6,163.4,16.8,11.5,"100,590",Doctoral or professional degree,4.1,3.6,3.3,3.9,2.1,3.9,2.5,3.3,3.2,3.3,1.7,1.3,3.9,2.7,3.6,3.6,4.0
  Occupational therapists,29-1122,150.5,167.3,16.8,11.1,"98,340",Master's degree,4.3,3.4,3.3,3.7,3.3,3.5,2.5,4.4,3.3,2.2,1.5,2.5,4.0,2.9,2.5,3.6,4.0
  Veterinarians,29-1131,88.2,105.0,16.8,19.1,"125,510",Doctoral or professional degree,4.3,3.2,2.7,3.7,4.0,4.1,3.1,3.8,3.3,3.2,1.6,2.4,4.2,2.3,3.6,3.5,3.9
  Medical records specialists[2],29-2072,191.5,208.2,16.7,8.7,"50,250",Postsecondary nondegree award,3.5,3.8,1.9,2.7,2.6,3.8,2.8,3.0,2.3,1.9,1.2,1.4,3.1,2.3,1.4,3.1,3.8
  Recreation workers,39-9032,300.0,316.5,16.5,5.5,"35,380",High school diploma or equivalent,4.1,3.2,3.5,3.1,3.5,3.5,1.9,4.1,3.6,2.4,1.8,2.6,3.5,3.4,1.4,3.6,3.3
